Place, Team Name, Total, Race1, Race2, Race3, Race4, Race5, Race6, Race7, Race8
1,Scotts Valley Cycle Sport,834,144,150,134,124,132,150,,
2,Team Mike's Bikes,760,109,138,150,134,130,99,,
3,MTB Experience,632,83,96,108,116,102,127,,
4,Santa Cruz Factory Racing,556,86,91,78,76,99,126,,
5,Victory Velo Bike Shop,498,0,59,128,106,98,107,,
6,Team Roaring Mouse,394,0,85,105,64,0,140,,
7,Team MidPack,366,0,94,42,118,0,112,,
8,Cognition Cyclery Racing,360,63,77,123,9,0,88,,
9,Team Jellybean,271,86,81,59,0,45,0,,
10,QUEST,246,138,0,0,108,0,0,,
11,South Shore Bikes Enduro Team,198,0,85,113,0,0,0,,
12,Northstar/Specialized/Paco's,165,0,0,0,120,0,45,,
13,Masters of Jank,160,0,0,128,32,0,0,,
14,Dsendit Racing,149,0,54,0,95,0,0,,
15,TNT Jr DEVO,123,0,0,123,0,0,0,,
16,YETI / FOX SHOX FACTORY RACE TEAM ,119,0,0,0,119,0,0,,
17,Santa Barbara Enduro Stars,103,0,0,0,60,43,0,,
18,Team Al Boo Boo,98,0,0,98,0,0,0,,
19,The Agent Eden Alliance,86,0,0,86,0,0,0,,
20,Cyclepaths Bike Shop ,83,0,0,0,83,0,0,,
21,El Do Co Locos / Mraz Brewing  ,82,0,0,0,0,0,82,,
22,Huevo de Jade,65,0,0,65,0,0,0,,
23,Team Shift,44,0,0,0,44,0,0,,
24,Ibis Cycles Team USA,30,0,0,0,30,0,0,,
25,Tandemonium ,0,0,0,0,0,0,0,,
25,Brennan Suspension,0,0,0,0,0,0,0,,
25,NF Racing,0,0,0,0,0,0,0,,
25,Bike Lush,0,0,0,0,0,0,0,,
25,Mt. Shasta Bike Park,0,0,0,0,0,0,0,,
25,Endless Bastards,0,0,0,0,0,0,0,,
25,Trail Head Racing,0,0,0,0,0,0,0,,
25,Raven bikes ,0,0,0,0,0,0,0,,
25,Incycle Race Team,0,0,0,0,0,0,0,,
25,Touchstone Racing,0,0,0,0,0,0,0,,
25,Shred Tam ,0,0,0,0,0,0,0,,
25,Auburn Bike Company,0,0,0,0,0,0,0,,
25,T-BONE RACING,0,0,0,0,0,0,0,,
25,Team CES,0,0,0,0,0,0,0,,
25,Team Roseville Cyclery,0,0,0,0,0,0,0,,
25,Victory Velo ,0,0,0,0,0,0,0,,
25,NorCal Cooperative,0,0,0,0,0,0,0,,
25,D+H Worldwide Produce (p/b Dayka+Hackett ),0,0,0,0,0,0,0,,
25,Olympic Bike Shop,0,0,0,0,0,0,0,,
25,Rush Coffee Roasters,0,0,0,0,0,0,0,,
25,BKE Legends,0,0,0,0,0,0,0,,
25,Santa Cruz / Fox / Shimano,0,0,0,0,0,0,0,,
25,Giant Factory Off-Road Team,0,0,0,0,0,0,0,,
25,Art's Cyclery Ambassadors,0,0,0,0,0,0,0,,
25,Myrmidons,0,0,0,0,0,0,0,,
25,Burnt Calamari Racing,0,0,0,0,0,0,0,,
25,TheBikeStore.com,0,0,0,0,0,0,0,,
25,High Sierra Mountain Bike Team,0,0,0,0,0,0,0,,
25,The Path Bike Shop ,0,0,0,0,0,0,0,,
25,Knolly GSR,0,0,0,0,0,0,0,,
25,Endurobro.com,0,0,0,0,0,0,0,,
25,K,0,0,0,0,0,0,0,,
25,R4J,0,0,0,0,0,0,0,,
25,Tam Bikes,0,0,0,0,0,0,0,,
25,The Mcsendersons,0,0,0,0,0,0,0,,
25,Frame Up Bikes,0,0,0,0,0,0,0,,
25,Hella Mello Racing,0,0,0,0,0,0,0,,
25,Team GromDuro ,0,0,0,0,0,0,0,,
25,Shredmasters ,0,0,0,0,0,0,0,,
25,Paco's Bike & Ski ,0,0,0,0,0,0,0,,
25,New West Medical,0,0,0,0,0,0,0,,
25,Sierra Endurance Sports,0,0,0,0,0,0,0,,
25,Milk Prospectors,0,0,0,0,0,0,0,,
25,DudeBro,0,0,0,0,0,0,0,,
25,MTN Labs,0,0,0,0,0,0,0,,
25,Specialized R&D,0,0,0,0,0,0,0,,
25,My Buddy's Bike Shop,0,0,0,0,0,0,0,,
25,Sikads Cycling,0,0,0,0,0,0,0,,
25,Team K-Man,0,0,0,0,0,0,0,,
25,The Hub Bicycles,0,0,0,0,0,0,0,,
25,Webcor Cycling,0,0,0,0,0,0,0,,
25,Senders Local Union, Chapter 289,0,0,0,0,0,0,0,,
25,Cycling Development - SCOTT,0,0,0,0,0,0,0,,
25,Slightly Steezy,0,0,0,0,0,0,0,,
25,Mike's Velo City,0,0,0,0,0,0,0,,
25,Larkspur Bike,0,0,0,0,0,0,0,,
25,Podium Racing,0,0,0,0,0,0,0,,
25,BLS,0,0,0,0,0,0,0,,
25,The Hub Roseville,0,0,0,0,0,0,0,,
25,BikeworksUSA Racing,0,0,0,0,0,0,0,,
